author,year,title,mass_g,o2_ug_per_hour,mr_mgO2_per_hour,mr_type,temperature_c,treatment,notes,species,race,n,indiv_or_mean,fish_density_per_meter_squared,data_quality
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.023241573,33.76347252,0.033763473,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.026561798,51.26294097,0.051262941,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.027269663,47.07767038,0.04707767,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.027960674,44.02760741,0.044027607,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.028061798,47.17269352,0.047172694,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.028466292,46.47792879,0.046477929,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.02897191,46.48283532,0.046482835,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.02905618,48.14304172,0.048143042,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.029174157,44.6507368,0.044650737,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.029258427,52.33714407,0.052337144,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.029966292,54.35274684,0.054352747,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030370787,52.87195591,0.052871956,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.028870787,55.30281471,0.055302815,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.028651685,54.95134357,0.054951344,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.028061798,55.99365422,0.055993654,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.02747191,53.97919631,0.053979196,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.025280899,60.68282551,0.060682826,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.026865169,59.65016437,0.059650164,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.02708427,59.73962678,0.059739627,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.02747191,60.00539718,0.060005397,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.026376404,68.20437335,0.068204373,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.026376404,67.59301964,0.06759302,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.026966292,66.72538148,0.066725381,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
